subjectCode,subjectName,t,p,n,ch,academicYear,semester
20001-1001,สุขภาพความปลอดภัยและสิ่งแวดล้อม,1,2,2,3,2569,1
20001-1004,กฎหมายแรงงาน,1,0,1,1,2569,1
21900-1005,เครือข่ายคอมพิวเตอร์,1,2,2,3,2569,1
21901-2008,การออกแบบส่วนติดต่อผู้ใช้,1,2,2,3,2569,1
21901-2017,เทคโนโลยีการนำเข้าข้อมูลเข้าสู่ระบบคอมพิวเตอร์,1,2,2,3,2569,1
21901-2020,ปฏิบัติงานบริการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ,0,6,2,2,2569,1
21910-2010,การเขียนโปรแกรมภาษาคอมพิวเตอร์,2,2,3,4,2569,1
31901-2001,การออกแบบส่วนติดต่อผู้ใช้ขั้นสูง,1,2,2,3,2569,1
31901-2004,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Front-End,1,4,3,5,2569,1
31901-2009,การพัฒนาซอฟต์แวร์สำหรับอุปกรณ์เคลื่อนที่,1,4,3,5,2569,1
31910-0004,การเขียนโปรแกรมคอมพิวเตอร์,2,2,3,4,2569,1
Home Room,กิจกรรมโฮมรูม (ชั่วโมงพบครูที่ปรึกษา),,,,1,2569,1
PLC,ชุมชนการเรียนรู้ทางวิชาชีพ (PLC),,,,2,2569,1
